section,sample,project,operator,Antenna position,DUT Orientation,Housing connected to the ground plane,Configuration of the power return line LV,-,Mode,Conclusion,name,filename,step,preamp,setup,sweeping,rbw,dynamic,span,ref_level,vbw,rf_att,sweep_time,maxhold
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,1.805GHz-1.995GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,1.805GHz-1.995GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:40:27",in front of harness,axis X,no,remotely grounded,,3,not comply,171MHz-200MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:40:27",in front of harness,axis X,no,remotely grounded,,3,not comply,171MHz-200MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:40:27",in front of harness,axis X,no,remotely grounded,,3,not comply,200MHz-2GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:40:27",in front of harness,axis X,no,remotely grounded,,3,not comply,200MHz-2GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,30MHz-200MHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,30MHz-200MHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,200MHz-1GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,200MHz-1GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,1.805GHz-1.995GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 11:12:24",in front of DUT,axis Z,no,remotely grounded,,3,not comply,1.805GHz-1.995GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,171MHz-200MHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,171MHz-200MHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,200MHz-2GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,200MHz-2GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,2GHz-6GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 1-7GHz_horn with preamp,3,1,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 20/02/2025 09:26:46",in front of DUT,axis Z,no,remotely grounded,,3,not comply,2GHz-6GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 1MHz With PA,250.0,OFF,USE_CRE2_RESAC (A) 1-7GHz_horn with preamp,3,1,120,0.1,70,Auto,0,1000,5
Invest CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 20/02/2025 14:53:02",in front of harness,axis X,no,remotely grounded,,3,comply,1.156GHz-1.617GHz,Invest CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
Invest CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 20/02/2025 14:53:02",in front of harness,axis X,no,remotely grounded,,3,comply,1.156GHz-1.617GHz,Invest CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
